,subject,topic_label
444,trust & safety update: action needed for new wfs items,New Orders and Shipments
445,john s contreras design claim to walmart,Invoices and Support
446,delivery status notification (failure),Delivery Status and Failures
447,[request received] ticket id: (404340) - your email was received by kingston brass support,Order Requests and Tickets
448,amazon has shipped your sold item(s),Order Requests and Tickets
449,payment notification 00002992/150,Delivery Status and Failures
450,delivery status notification (failure),Delivery Status and Failures
451,request received by nearly natural customer support,Customer Messages
452,delivery status notification (failure),Delivery Status and Failures
453,nan,Miscellaneous/Unknown
454,nan,Miscellaneous/Unknown
455,nan,Miscellaneous/Unknown
456,delivery status notification (failure),Delivery Status and Failures
457,re: order inquiry from amazon customer justin phillips,Customer Inquiries
458,nan,Miscellaneous/Unknown
459,nan,Miscellaneous/Unknown
460,nan,Miscellaneous/Unknown
461,6 new walmart marketplace orders received,New Orders and Shipments
462,nan,Miscellaneous/Unknown
463,nan,Miscellaneous/Unknown
464,nan,Miscellaneous/Unknown
465,nan,Miscellaneous/Unknown
466,nan,Miscellaneous/Unknown
467,nan,Miscellaneous/Unknown
468,delivery status notification (failure),Delivery Status and Failures
469,vendor friction log - 05/10/2024 - week 19,New Orders and Shipments
470,automatic reply: 070127203,Delivery Status and Failures
471,brand the summer with these 4 stylized looks,New Orders and Shipments
472,ticket has been created for order id #vv-us-cdb-37164,Order Requests and Tickets
473,connect your shopify store and tap into new communities!,New Orders and Shipments
474,need more info for dispute case #06939460,Disputes and Cases
475,re: [external] claim case number : c-148326012,Customer Inquiries
476,fedex customer survey - email reference number: 78827906,New Orders and Shipments
477,fw: merchant email receipt,New Orders and Shipments
478,"action required - sold, ship now: mrug-ren-cosetcos2bge5080 momeni cosette wool area rug 5' x 8' beige",Order Requests and Tickets
479,re: star-sellerusa sent a message about ergode arwen rustic wood frame mirror - walnut #134677575756,Customer Messages
480,re: we have received your dispute case #06955706!    [ ref:!00d610zktc.!5008y02oewwb:ref ],Disputes and Cases
481,kerriberryhunter sent a message about antique gold 18 inch drop tailored full size bed skirt with lining #134666840961,Miscellaneous/Unknown
482,standout reviews for standout businesses. like you,Order Requests and Tickets
483,nws-17804 issues?,Customer Messages
484,$9 tulips | deck boxes from $19 | $34 ceiling fan w/ light,Delivery Status and Failures
485,trending now: flight suits in new size!,Miscellaneous/Unknown
486,how to build a strong digital presence,Customer Messages
487,need more info for dispute case #06939169,Disputes and Cases
488,your fedex claims status has been updated,Customer Inquiries
489,pass ai-detectors,Miscellaneous/Unknown
490,03-11520-77833,New Orders and Shipments
491,fedex customer survey - email reference number: 78829017,New Orders and Shipments
492,do not miss our launch promo,System Notifications
493,credit card declined,System Notifications
494,new order received,New Orders and Shipments
495,"re: lindseykochanski has sent a question about item #364698130782, ending on may-25-24 05:07:52 pdt - pants: ocean ave women is stretch wide waistband scrub pants with cargo pocket...",Delivery Status and Failures
496,summary of failures for google apps script: gmail reader v1.3,System Notifications
497,new this week. new this week. new this week.,New Orders and Shipments
498,transform your shipping approach: discover the comprehensive benefits of non-operating reefer containers (nor),Promotions and Offers
499,"nandansons wholesale specials price list for may 10, 2024",Invoices and Support
500,sla pending confirmation,Customer Inquiries
501,sla shipments,New Orders and Shipments
502,2 new walmart marketplace orders received,New Orders and Shipments
503,credit information,System Notifications
504,your e-mail to michele,Customer Inquiries
505,mazal distribution updated catalog 05/10/2024 great deals,Promotions and Offers
506,your email to liam cabble,New Orders and Shipments
507,action required: please review your flagged orders,Order Requests and Tickets
508,un cliente estã¡ a la espera de una respuesta sobre unity automotive...,Delivery Status and Failures
509,order cancelation request for order id: 113-6129263-7417042,Order Requests and Tickets
510,4 new walmart marketplace orders received,New Orders and Shipments
511,product details inquiry from amazon customer adam jankola,Customer Inquiries
512,cancellation request for houzz order #1798-6610-0309-7155,Order Requests and Tickets
513,your e-mail to togo co. ltd,Miscellaneous/Unknown
514,your e-mail to lindy,Miscellaneous/Unknown
515,your e-mail to adam jankola,System Notifications
516,houzz marketplace product approval status update - 2024-05-09,Delivery Status and Failures
517,walmart refund data,Customer Messages
518,inquiry from amazon customer cornelia lamb,Customer Inquiries
519,item sopt/opt override processing complete,Invoices and Support
520,delivery status notification (failure),Delivery Status and Failures
521,sears marketplace notification - products in your catalog have been reinstated,Delivery Status and Failures
522,tripler674 sent a message about remedy intensive skin therapy skin repair cream #134954421463,Delivery Status and Failures
523,detected login from a new location,New Orders and Shipments
524,buybox items details report is ready.,Customer Inquiries
525,rma export issues,Disputes and Cases
526,enquiry from amazon customer liam cabble,Customer Inquiries
527,re: please contact the customer - refund not received,Customer Messages
528,nan,Miscellaneous/Unknown
529,motherâ€™s day sale,System Notifications
530,un cliente estã¡ a la espera de una respuesta sobre leviton apagador grado...,Delivery Status and Failures
531,your fedex claim has been approved!,Customer Inquiries
532,"offer expired for drive medical gel &quot;e&quot; skin protection wheelchair seat cushion, 18&quot; x 16&quot; x 3&quot;",Promotions and Offers
533,"you have been paid: vidaxl side table black 27.6x13.8""x21.7"" chipboard #88328""",System Notifications
534,your email to amazon.ca marketplace,New Orders and Shipments
535,"melrose international  credit memo# 1006863,   has been issued.  virventures inc (drop ship).",Disputes and Cases
536,re: [type : general comment][virventures#virc2dc3468],Customer Inquiries
537,"â€‹â€‹â€‹â€‹â€‹â€‹â€‹mike, it is not too late!",Delivery Status and Failures
538,[bambini layette] bam29278 package in transit,Miscellaneous/Unknown
539,5 new walmart marketplace orders received,New Orders and Shipments
540,claim resolution update: our sincere apologies for the delay.,Promotions and Offers
541,product details inquiry from amazon customer michele,Customer Inquiries
542,æ‰‹æ©ÿçÿ­è¨šç™¼æž˜æ›´å¤šå•†æ©ÿ æ¯æ¢è¨šæ¯hk$0.5  |  ç«‹å³ç™»è¨˜ï¼œå…è²»é€20å€‹çÿ­è¨šï¼,Miscellaneous/Unknown
543,sears marketplace notification - urgent message regarding the status of your products,Delivery Status and Failures
544,"latinbarber sent a message about prox xs-utl7 48 utility flight case w 4 low profile wheels ext 16""x16""x48"" #175392577864""",Delivery Status and Failures
545,delivery status notification (failure),Delivery Status and Failures
546,product details inquiry from amazon customer togo co. ltd,Customer Inquiries
547,1 new walmart marketplace orders received,New Orders and Shipments
548,order cancelation request for order id: 113-5042399-0765800,Order Requests and Tickets
549,"new customer message on may 9, 2024 at 7:29 pm",New Orders and Shipments
550,updates for you: 2 new notifications,New Orders and Shipments
551,"message from walmart.com customer, ref id: 7ae7dddd01874757bd00f860edf7a207",Customer Messages
552,"message from walmart.com customer, ref id: 319de68f19eb448fb50c27aa9f0d0f87",Customer Messages
553,confirmation of shipment details for item / confirmation des dã©tails de l'envoi de l'article: tracking 9544036438795470,Customer Inquiries
554,ar reco report - amazon us (vir) - 10 may 2024,Customer Inquiries
555,5 refund(s) issued,Customer Messages
556,4 new walmart marketplace returns initiated,New Orders and Shipments
557,5 return(s) delivered,New Orders and Shipments
558,kerriberryhunter sent a message about antique gold 18 inch drop tailored full size bed skirt with lining #134666840961,Miscellaneous/Unknown
559,beauty by imagination - verification request (i2o),Promotions and Offers
560,âš¡this weekend only: shop mega deals! more details inside. . .,Promotions and Offers
561,"re: message from walmart.com customer:  initiate a return, 200011751399530",New Orders and Shipments
562,product details inquiry from amazon customer adam jankola,Customer Inquiries
563,virventures tracking report from advanced graphics 05/09/2024,Customer Inquiries
564,re: 0[virventures#vir2af8ea58],Customer Inquiries
565,your email to liam cabble,New Orders and Shipments
